state_abbr,incident_count,total_individuals_affected
CA,58,15029801
FL,45,3419897
TX,45,6548445
NY,34,2811509
PA,27,1031943
IL,25,1871030
NC,21,901515
TN,19,2201431
MI,19,1229057
MO,18,9771366
OH,18,445921
GA,17,16439875
MA,17,533239
WA,16,546609
NJ,14,362593
AZ,13,619798
MN,13,192913804
MD,12,3521761
CO,12,5632199
WI,12,354957
VA,11,1894103
IN,11,491466
NE,11,3394784
LA,9,2939985
AL,9,529949
OK,8,327828
UT,8,4346099
AR,8,524603
CT,8,1491675
SC,7,79142
KS,7,183234
OR,7,83764
KY,6,223693
MS,5,232633
NV,5,93353
ME,5,154618
AK,5,79898
ID,4,617854
NH,4,74821
IA,4,268307
RI,4,232446
NM,3,82971
HI,2,23705
MT,2,29498
DE,1,14095
DC,1,18949
SD,1,25398
WY,1,10268
